"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","31-Dec-2018","28-Mar-2019","CE","11600","80.6","80.6","72","72.9","73.1","72.9","51","446.48","2.78","5925","3000","10862.55"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","11600","68.45","76.15","60","76.15","76.15","76.15","31","271.26","1.56","5175","-750","10910.1"
"NIFTY","02-Jan-2019","28-Mar-2019","CE","11600","70.05","75.85","56","64.6","64.6","64.6","29","253.77","1.47","5100","-75","10792.5"
"NIFTY","03-Jan-2019","28-Mar-2019","CE","11600","59.95","60","47.95","49","49","49","23","201",".9","5025","-75","10672.25"
"NIFTY","04-Jan-2019","28-Mar-2019","CE","11600","44.95","51.75","44.95","51.75","51.75","51.75","6","52.42",".22","5100","75","10727.35"
"NIFTY","07-Jan-2019","28-Mar-2019","CE","11600","49.95","53","49.95","51","51","51","6","52.43",".23","5175","75","-"
"NIFTY","08-Jan-2019","28-Mar-2019","CE","11600","41.9","42","41.9","42","42","42","2","17.46",".06","5250","75","-"
"NIFTY","09-Jan-2019","28-Mar-2019","CE","11600","48","50","44.85","45.65","47.15","45.65","19","165.96",".66","6150","900","10855.15"
"NIFTY","10-Jan-2019","28-Mar-2019","CE","11600","45","49.05","36.65","42.65","42.65","42.65","14","122.26",".46","6525","375","10821.6"
"NIFTY","11-Jan-2019","28-Mar-2019","CE","11600","42","42","38.1","38.6","38.1","38.6","14","122.22",".42","6825","300","10794.95"
"NIFTY","14-Jan-2019","28-Mar-2019","CE","11600","37","37","29","35.35","33.45","35.35","11","95.98",".28","7050","225","10737.6"
"NIFTY","15-Jan-2019","28-Mar-2019","CE","11600","38","50","37.15","48.45","48.65","48.45","41","358.07","1.37","8175","1125","-"
"NIFTY","16-Jan-2019","28-Mar-2019","CE","11600","50.95","57.95","50.3","51.95","51.25","51.95","221","1931.54","8.84","14475","6300","10890.3"
"NIFTY","17-Jan-2019","28-Mar-2019","CE","11600","51.3","57","45","53.05","52.9","53.05","73","637.85","2.75","15075","600","10905.2"
"NIFTY","18-Jan-2019","28-Mar-2019","CE","11600","53.05","56.6","49.45","54.5","54.5","54.5","85","742.98","3.48","16575","1500","-"
"NIFTY","21-Jan-2019","28-Mar-2019","CE","11600","56.4","77.85","56.4","74.15","72.25","74.15","147","1287.01","8.11","18375","1800","-"
"NIFTY","22-Jan-2019","28-Mar-2019","CE","11600","69.95","70","59","64","64","64","103","900.86","4.76","18750","375","10922.75"
"NIFTY","23-Jan-2019","28-Mar-2019","CE","11600","55.25","55.25","48.5","49.25","48.5","49.25","15","131.1",".6","19050","300","10831.5"
"NIFTY","24-Jan-2019","28-Mar-2019","CE","11600","48","48.75","42.95","48.75","48.75","48.75","18","157.22",".62","18750","-300","10849.8"
"NIFTY","25-Jan-2019","28-Mar-2019","CE","11600","57","57","36.05","37.55","36.05","37.55","98","856.08","3.48","19800","1050","10780.55"
"NIFTY","28-Jan-2019","28-Mar-2019","CE","11600","41.6","43.5","30.1","31.15","30.1","31.15","115","1003.41","2.91","18825","-975","-"
"NIFTY","29-Jan-2019","28-Mar-2019","CE","11600","30.9","35.7","28.3","30.5","31","30.5","82","715.31","1.91","17775","-1050","10652.2"
"NIFTY","30-Jan-2019","28-Mar-2019","CE","11600","30.8","31.5","22","22.45","22","22.45","132","1150.79","2.39","17175","-600","10651.8"
"NIFTY","31-Jan-2019","28-Mar-2019","CE","11600","24.25","30.8","23.1","29.35","29.05","29.35","144","1255.7","2.9","17025","-150","10830.95"
"NIFTY","01-Feb-2019","28-Mar-2019","CE","11600","31.55","45.2","24.6","28.6","27.45","28.6","2314","20188.46","56.66","30675","13650","-"
"NIFTY","04-Feb-2019","28-Mar-2019","CE","11600","22.9","29.05","22.25","27.05","28.9","27.05","1269","11064.04","23.74","42675","12000","-"
"NIFTY","05-Feb-2019","28-Mar-2019","CE","11600","29.2","31.1","25.85","29.1","29.4","29.1","618","5389.81","13.21","48525","5850","-"
"NIFTY","06-Feb-2019","28-Mar-2019","CE","11600","32.95","55","32.95","45.65","47.75","45.65","1981","17293.86","59.16","59775","11250","11062.45"
"NIFTY","07-Feb-2019","28-Mar-2019","CE","11600","43.75","52.75","39.3","44.05","41.95","44.05","2051","17915.56","71.86","59775","0","11069.4"
"NIFTY","08-Feb-2019","28-Mar-2019","CE","11600","40.25","40.8","24.05","27.15","24.05","27.15","2454","21408.88","59.08","57300","-2475","-"
"NIFTY","11-Feb-2019","28-Mar-2019","CE","11600","22.45","23","17.95","20.55","22.45","20.55","1572","13699.84","23.44","57300","0","-"
"NIFTY","12-Feb-2019","28-Mar-2019","CE","11600","20.5","21.15","15.9","17.05","18.4","17.05","1756","15302.29","25.09","75675","18375","-"
"NIFTY","13-Feb-2019","28-Mar-2019","CE","11600","17.8","18.55","13.5","14.2","15","14.2","856","7457.3","10.1","86100","10425","10793.65"
"NIFTY","14-Feb-2019","28-Mar-2019","CE","11600","11.05","15","10.95","12.15","12.5","12.15","841","7324.65","7.95","78150","-7950","-"
"NIFTY","15-Feb-2019","28-Mar-2019","CE","11600","11.4","13.7","9","10.8","11.5","10.8","922","8028.34","6.94","90525","12375","-"
"NIFTY","18-Feb-2019","28-Mar-2019","CE","11600","10.25","10.45","7.5","8.85","8.8","8.85","366","3186.69","2.49","90600","75","10640.95"
"NIFTY","19-Feb-2019","28-Mar-2019","CE","11600","9","9.95","8","8.35","8.75","8.35","1340","11667.15","9.15","112200","21600","10604.35"
"NIFTY","20-Feb-2019","28-Mar-2019","CE","11600","8.35","10","7.05","8.35","8.8","8.35","705","6137.84","4.34","110025","-2175","10735.45"
"NIFTY","21-Feb-2019","28-Mar-2019","CE","11600","8.55","8.95","7.3","7.95","8.15","7.95","844","7347.84","5.04","125925","15900","10789.85"
"NIFTY","22-Feb-2019","28-Mar-2019","CE","11600","8.5","8.5","6.55","6.9","7","6.9","1034","9001.21","5.41","136950","11025","10791.65"
"NIFTY","25-Feb-2019","28-Mar-2019","CE","11600","6.85","7.5","6.05","7","6.8","7","1608","13997.66","8.06","173625","36675","10880.1"
"NIFTY","26-Feb-2019","28-Mar-2019","CE","11600","6","7.9","5.55","6.6","6.95","6.6","2864","24931.35","14.55","148800","-24825","-"
"NIFTY","27-Feb-2019","28-Mar-2019","CE","11600","6.9","9.35","5.45","7.25","7.8","7.25","3942","34316.62","21.22","152175","3375","10806.65"
